domain,score,tags,is_listed,listed_date,listed_until,last_seen,contexts,smtp_score,identity_score,infra_score,malware_score,human_score,spf,dmarc,dkim,mx,dns_a,dns_aaaa,nameservers,spamhaus_dqs,malware,clusters
canismajoris.store,-3.0,,False,2026-08-04T13:55:31,,2026-08-04T13:55:31,helo:2026-08-04T13:55:31 | rdns:2026-08-04T13:55:31 | tlscert:2026-08-02T12:33:04 | zrd:2026-07-25T13:21:10,-1,,-2,,,v=spf1 mx a ip4:46.225.55.93 ~all,v=DMARC1; p=none;,dkim:v=DKIM1;k=rsa;t=s;s=email;p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAwW7kiXaIiQ7j0Yvej8PsSQSjvA0Wvui2ptyf3rlKYYuQqrVKEN79n7RKJd6/06IW+NU7oWCn7QVGxfqSFUKNQhOKBmjl0eA/9i5Q+I1b75R3zk03ZtFK0KSBSPxr1YQ9tFqTYO0nIxYtdDSp3qVrRsw89e14ETMuC3GQh8244t9nRAlo8y5plTv 48k7vnsaFLvgOWlsLIWqJTDGItOHJEjXkB/2EYyi2VRTIQxD9viH9W01TNFA8paqV4W0lm1syvdcDV1txKD3Ao2yW5plFmQTDw5B1ThMk6XtEc9mQocgEao/yonlb/hgxqxfiL7rI/Ji+v9/Db/9bkfCO786ASQIDAQAB,mail.canismajoris.store,,,dns1.registrar-servers.com score=-0.2 counter=5907060 last_seen=2026-08-04T13:55:31 | dns2.registrar-servers.com score=-0.5 counter=5951701 last_seen=2026-08-04T13:55:31,"46.225.55.93:ZEN=CLEAN,SBL=CLEAN,XBL=CLEAN,PBL=CLEAN,AUTHBL=CLEAN",,auth=f0dd2cebb2653a567297e0f428fae58de1e32804 | infra=f852383ef559a499c28519cceb4c46ae0d61b96e
etauma.top,-2.0,,False,2026-08-02T10:53:27,,2026-08-02T10:53:27,zrd:2026-08-02T10:53:27,,,-2,,,v=spf1 mx ip4:46.225.55.93 -all,v=DMARC1; p=none;,dkim:v=DKIM1;k=rsa;t=s;s=email;p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAn8LNYv7MW4MDCEdOx8cK4yBa9B5BovhzFoSaaa/+qryYQqiWFLsxkWD56B/8mQZ7t1EbnfzSzmicoMOPb97HQFjMVFSSpvtOGUYhdxwfeU16PsdhQykxDBYXtMrrxFHl1sXipX3GHE/9uidGgGgmkA1HikSN0lobWABv4X5YgHyU+yxO6LCoa/R EfacY9gM1t6KicucJ7nFb1rR8nS1HQ9uIRbOKlKBlS1nPivBVSJAuRjkj0srpZobxdaMiL0TXDQnQCHVfeb5wpTwFyDNisW9IgP7A6WblZs0c/SEhwm7Xb11lbt1SSjWAKuuKLRq400LBdu4XEPWA45I32KKARwIDAQAB,mail.etauma.top,46.225.55.93,,launch1.spaceship.net score=0.3 counter=2362383 last_seen=2026-08-02T10:53:27 | launch2.spaceship.net score=-0.3 counter=2360601 last_seen=2026-08-02T10:53:27,"46.225.55.93:ZEN=CLEAN,SBL=CLEAN,XBL=CLEAN,PBL=CLEAN,AUTHBL=CLEAN",,auth=9ccb93ed85082c348e75e09b84e423ac56b6b4e7 | infra=812c1d0dd6ec7658eecb0e3f8a3eccdf18d6cead
